,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Console_Product,Filtered_Publisher,Global_Sales (zeros)
14403,Treasure Gaust: Gaust Diver Crimson Red / Deep Purple,DS,2007,Action,Bandai Namco Entertainment,0.0,0.0,0.03,0.0,0.03,Nintendo,Bandai Namco Entertainment,False
14404,Megpoid the Music#,PSP,2013,Misc,Asgard,0.0,0.0,0.03,0.0,0.03,Playstation,Other,False
14405,Batman: A Telltale Game Series,XOne,2016,Adventure,Telltale Games,0.02,0.01,0.0,0.0,0.03,Xbox,Other,False
14406,Wallace & Gromit in Project Zoo,XB,2003,Platform,BAM! Entertainment,0.02,0.01,0.0,0.0,0.03,Xbox,Other,False
14407,Boulder Dash: Rocks!,DS,2007,Puzzle,10TACLE Studios,0.0,0.03,0.0,0.0,0.03,Nintendo,Other,False
14408,Grid Runner,PS,1996,Action,Virgin Interactive,0.02,0.01,0.0,0.0,0.03,Playstation,Other,False
14409,Saihai no Yukue,DS,2008,Strategy,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Nintendo,Tecmo Koei,False
14410,Metal Dungeon,XB,2002,Role-Playing,Xicat Interactive,0.02,0.01,0.0,0.0,0.03,Xbox,Other,False
14411,Drome Racers,GC,2003,Racing,Electronic Arts,0.02,0.01,0.0,0.0,0.03,Nintendo,Electronic Arts,False
14412,World of Zoo,PC,2009,Simulation,THQ Nordic,0.0,0.02,0.0,0.01,0.03,PC,THQ Nordic,False
14413,Guitar Freaks V & DrumMania V,PS2,2006,Simulation,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Playstation,Konami Digital Entertainment,False
14414,Tago Akira no Atama no Taisou Dai-1-Shuu: Nazotoki Sekai Isshuu Ryokou,DS,2009,Adventure,Level 5,0.0,0.0,0.03,0.0,0.03,Nintendo,Other,False
14415,Royal Palace of White Sword and The City of Gentiles,PC,2009,Role-Playing,Take-Two Interactive,0.0,0.02,0.0,0.0,0.03,PC,Take-Two Interactive,False
14416,Triple Pack: Xbox Live Arcade Compilation,X360,2011,Misc,Microsoft Game Studios,0.03,0.0,0.0,0.0,0.03,Xbox,Microsoft Game Studios,False
14417,Gekido Advance: Kintaro's Revenge,GBA,2002,Action,Zoo Digital Publishing,0.02,0.01,0.0,0.0,0.03,Nintendo,Zoo Digital Publishing,False
14418,Dream Pinball 3D,DS,2008,Misc,SouthPeak Games,0.03,0.0,0.0,0.0,0.03,Nintendo,Other,False
14419,Future Tactics: The Uprising,XB,2004,Strategy,JoWood Productions,0.02,0.01,0.0,0.0,0.03,Xbox,Other,False
14420,Winter Sports 3: The Great Tournament,PS3,2010,Sports,Tradewest,0.0,0.02,0.0,0.01,0.03,Playstation,Other,False
14421,Power Poke Dash,GBA,2006,Sports,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Nintendo,Konami Digital Entertainment,False
