,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Console_Product,Filtered_Publisher,Global_Sales (zeros)
7693,Quake,N64,1998,Shooter,GT Interactive,0.15,0.04,0.0,0.0,0.19,Nintendo,Other,False
7694,SpongeBob's Surf & Skate Roadtrip,X360,2011,Action,THQ Nordic,0.15,0.03,0.0,0.01,0.19,Xbox,THQ Nordic,False
7695,Sesame Street: Elmo's Number Journey,N64,1999,Misc,NewKidCo,0.15,0.04,0.0,0.0,0.19,Nintendo,Other,False
7696,Hexen,N64,1996,Shooter,GT Interactive,0.15,0.04,0.0,0.0,0.19,Nintendo,Other,False
7697,Mace: The Dark Age,N64,1997,Fighting,GT Interactive,0.15,0.04,0.0,0.0,0.19,Nintendo,Other,False
7698,Puyo Puyo Sun 64,N64,1997,Puzzle,Compile,0.0,0.0,0.16,0.03,0.19,Nintendo,Other,False
7699,AeroFighters Assault,N64,1997,Action,Video System,0.15,0.04,0.0,0.0,0.19,Nintendo,Other,False
7700,Chou-Kuukan Night Pro Yakyuu King (weekly JP sales),N64,1996,Sports,Imagineer,0.0,0.0,0.19,0.0,0.19,Nintendo,Other,False
7701,South Park: The Stick of Truth,PC,2014,Role-Playing,Ubisoft,0.07,0.1,0.0,0.01,0.19,PC,Ubisoft,False
7702,Tottadoo! Yoiko no Mujintou Seikatsu,DS,2008,Adventure,Bandai Namco Entertainment,0.0,0.0,0.19,0.0,0.19,Nintendo,Bandai Namco Entertainment,False
7703,Teenage Mutant Ninja Turtles 2: Battle Nexus,GC,2004,Action,Konami Digital Entertainment,0.15,0.04,0.0,0.01,0.19,Nintendo,Konami Digital Entertainment,False
7704,Barbie Horse Adventures: Riding Camp,PS2,2008,Sports,Activision,0.09,0.07,0.0,0.02,0.19,Playstation,Activision,False
7705,MLB 12: The Show,PSV,2012,Sports,Sony Interactive Entertainment,0.17,0.0,0.0,0.02,0.19,Playstation,Sony Interactive Entertainment,False
7706,God Eater Resurrection,PSV,2015,Action,Bandai Namco Entertainment,0.0,0.0,0.19,0.0,0.19,Playstation,Bandai Namco Entertainment,False
7707,SSX Tricky,GBA,2002,Sports,Electronic Arts,0.14,0.05,0.0,0.0,0.19,Nintendo,Electronic Arts,False
7708,Kenka Banchou 4: Ichinen Sensou,PSP,2010,Action,Spike,0.0,0.0,0.19,0.0,0.19,Playstation,Other,False
7709,Warhammer: Shadow of the Horned Rat,PS,1996,Strategy,Mindscape,0.11,0.07,0.0,0.01,0.19,Playstation,Other,False
7710,NBA 2K11,PC,2010,Action,Take-Two Interactive,0.18,0.0,0.0,0.01,0.19,PC,Take-Two Interactive,False
7711,Pro Yakyuu Team o Tsukurou!,DS,2008,Sports,Sega,0.0,0.0,0.19,0.0,0.19,Nintendo,Sega,False
7712,WWE All Stars,Wii,2011,Fighting,THQ Nordic,0.1,0.07,0.0,0.02,0.19,Nintendo,THQ Nordic,False
7713,Naruto: Ninja Destiny,DS,2006,Fighting,Bandai Namco Entertainment,0.02,0.01,0.16,0.0,0.19,Nintendo,Bandai Namco Entertainment,False
7714,FaceBreaker,X360,2008,Fighting,Electronic Arts,0.15,0.02,0.0,0.02,0.19,Xbox,Electronic Arts,False
7715,ESPN International Track & Field,PS2,2000,Sports,Konami Digital Entertainment,0.09,0.07,0.0,0.02,0.19,Playstation,Konami Digital Entertainment,False
7716,Spider-Man: Shattered Dimensions,DS,2010,Action,Activision,0.17,0.01,0.0,0.01,0.19,Nintendo,Activision,False
7717,Lunar Legend,GBA,2002,Role-Playing,Media Rings,0.14,0.05,0.0,0.0,0.19,Nintendo,Other,False
7718,Conflict: Global Terror,PS2,2005,Shooter,Eidos Interactive,0.09,0.07,0.0,0.02,0.19,Playstation,Eidos Interactive,False
7719,Dante's Inferno,PSP,2010,Action,Electronic Arts,0.12,0.03,0.01,0.02,0.19,Playstation,Electronic Arts,False
7720,Mystery Tales of Time Travel,DS,2010,Puzzle,Foreign Media Games,0.01,0.15,0.0,0.02,0.19,Nintendo,Other,False
7721,Injustice: Gods Among Us,WiiU,2013,Fighting,Warner Bros. Interactive Entertainment,0.09,0.08,0.0,0.02,0.19,Nintendo,Warner Bros. Interactive Entertainment,False
7722,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 5: CR Shinseiki Evangelion * Pachi-Slot Shinseiki Evangelion,PS2,2006,Misc,D3Publisher,0.0,0.0,0.19,0.0,0.19,Playstation,D3Publisher,False
7723,NASCAR Unleashed,3DS,2011,Racing,Activision,0.18,0.0,0.0,0.01,0.19,Nintendo,Activision,False
7724,Tomb Raider: Underworld,DS,2008,Action,Eidos Interactive,0.15,0.02,0.0,0.01,0.19,Nintendo,Eidos Interactive,False
7725,Death Jr.,PSP,2005,Platform,Konami Digital Entertainment,0.17,0.0,0.0,0.01,0.19,Playstation,Konami Digital Entertainment,False
7726,Hulk,GC,2003,Action,Universal Interactive,0.15,0.04,0.0,0.01,0.19,Nintendo,Other,False
7727,Boogie,PS2,2007,Misc,Electronic Arts,0.09,0.07,0.0,0.02,0.19,Playstation,Electronic Arts,False
7728,Arcade Shooting Gallery,Wii,2008,Shooter,Zoo Games,0.18,0.0,0.0,0.01,0.19,Nintendo,Other,False
7729,Phantasy Star Universe,PS2,2006,Role-Playing,Sega,0.0,0.0,0.19,0.0,0.19,Playstation,Sega,False
7730,Gungrave,PS2,2002,Shooter,Activision,0.09,0.07,0.0,0.02,0.19,Playstation,Activision,False
7731,Schlag den Raab,Wii,2010,Misc,Bandai Namco Entertainment,0.0,0.16,0.0,0.02,0.19,Nintendo,Bandai Namco Entertainment,False
7732,Transworld Surf,PS2,2002,Sports,Atari,0.09,0.07,0.0,0.02,0.19,Playstation,Atari,False
7733,Tenchu: Fatal Shadows,PS2,2004,Action,Sega,0.09,0.07,0.0,0.02,0.19,Playstation,Sega,False
7734,50 Cent: Blood on the Sand,PS3,2009,Shooter,THQ Nordic,0.1,0.06,0.01,0.03,0.19,Playstation,THQ Nordic,False
7735,Metro: Last Light,PC,2013,Action,Deep Silver,0.06,0.11,0.0,0.02,0.19,PC,Deep Silver,False
7736,Evolve,PC,2015,Shooter,Take-Two Interactive,0.08,0.1,0.0,0.02,0.19,PC,Take-Two Interactive,False
7737,FIFA 14,PSP,2013,Sports,Electronic Arts,0.0,0.15,0.0,0.04,0.19,Playstation,Electronic Arts,False
7738,Resident Evil: Revelations,WiiU,2013,Action,Capcom,0.07,0.07,0.03,0.01,0.19,Nintendo,Capcom,False
7739,Namco Museum Megamix,Wii,2010,Misc,Bandai Namco Entertainment,0.17,0.0,0.0,0.01,0.19,Nintendo,Bandai Namco Entertainment,False
7740,Chaotic: Shadow Warriors,Wii,2009,Action,Activision,0.18,0.0,0.0,0.01,0.19,Nintendo,Activision,False
7741,The Legend of Spyro: A New Beginning,GC,2006,Platform,Vivendi Games,0.15,0.04,0.0,0.01,0.19,Nintendo,Vivendi Games,False
7742,International Soccer,2600,1981,Sports,Mattel Interactive,0.18,0.01,0.0,0.0,0.19,Atari,Other,False
7743,Princess Maker: Yumemiru Yosei,PS,1997,Strategy,Sony Interactive Entertainment,0.0,0.0,0.18,0.01,0.19,Playstation,Sony Interactive Entertainment,False
7744,3rd Super Robot Wars Z: Tengoku-Hen,PSV,2015,Action,Bandai Namco Entertainment,0.0,0.0,0.19,0.0,0.19,Playstation,Bandai Namco Entertainment,False
7745,Armored Core: For Answer,PS3,2008,Simulation,Ubisoft,0.06,0.02,0.1,0.01,0.19,Playstation,Ubisoft,False
7746,Big Air,PS,1999,Sports,Accolade,0.1,0.07,0.0,0.01,0.19,Playstation,Other,False
7747,Shining Force II,GEN,1993,Strategy,Sega,0.0,0.0,0.19,0.0,0.19,Sega,Sega,False
7748,Taiko no Tatsujin: Wii U Version!,WiiU,2013,Misc,Bandai Namco Entertainment,0.0,0.0,0.19,0.0,0.19,Nintendo,Bandai Namco Entertainment,False
7749,Gallop Racer,PS,1999,Sports,Tecmo Koei,0.0,0.0,0.18,0.01,0.19,Playstation,Tecmo Koei,False
7750,The Walking Dead: Season Two,PS3,2014,Adventure,Telltale Games,0.09,0.06,0.0,0.03,0.19,Playstation,Other,False
7751,Harry Potter and the Prisoner of Azkaban,XB,2004,Action,Electronic Arts,0.14,0.04,0.0,0.01,0.19,Xbox,Electronic Arts,False
7752,3rd Super Robot Wars Z Jigoku Hen,PSV,2014,Role-Playing,Bandai Namco Entertainment,0.0,0.0,0.19,0.0,0.19,Playstation,Bandai Namco Entertainment,False
7753,Where's Waldo? The Fantastic Journey,Wii,2009,Adventure,Ubisoft,0.17,0.0,0.0,0.01,0.19,Nintendo,Ubisoft,False
7754,Sudoku Gridmaster (JP sales),DS,2006,Puzzle,Nintendo,0.0,0.0,0.19,0.0,0.19,Nintendo,Nintendo,False
7755,Monsters vs. Aliens,PS2,2009,Action,Activision,0.11,0.0,0.0,0.08,0.19,Playstation,Activision,False
7756,College Slam,PS,1995,Sports,Acclaim Entertainment,0.1,0.07,0.0,0.01,0.19,Playstation,Acclaim Entertainment,False
7757,Street Fighter X Tekken,PSV,2012,Fighting,Capcom,0.1,0.04,0.01,0.03,0.19,Playstation,Capcom,False
7758,Nobunaga no Yabou: Souzou,PS3,2013,Strategy,Tecmo Koei,0.0,0.0,0.19,0.0,0.19,Playstation,Tecmo Koei,False
7759,The Legend of Heroes: Trails of Cold Steel II,PSV,2014,Role-Playing,Nippon Ichi Software,0.02,0.02,0.13,0.01,0.19,Playstation,Nippon Ichi Software,False
7760,Pro Yaky? Spirits 4,PS2,2007,Sports,Konami Digital Entertainment,0.0,0.0,0.19,0.0,0.19,Playstation,Konami Digital Entertainment,False
7761,Rock Band Track Pack Volume 2,X360,2008,Misc,MTV Games,0.17,0.01,0.0,0.01,0.19,Xbox,Other,False
7762,Need for Speed: Shift 2 Unleashed,PC,2011,Racing,Electronic Arts,0.05,0.11,0.0,0.03,0.19,PC,Electronic Arts,False
7763,Tamagotchi Party On!,Wii,2006,Misc,Bandai Namco Entertainment,0.12,0.0,0.06,0.01,0.19,Nintendo,Bandai Namco Entertainment,False
7764,Daigasso! Band Brothers,DS,2004,Misc,Nintendo,0.0,0.0,0.19,0.0,0.19,Nintendo,Nintendo,False
7765,Rise of the Kasai,PS2,2005,Action,Sony Interactive Entertainment,0.09,0.07,0.0,0.02,0.19,Playstation,Sony Interactive Entertainment,False
7766,Thoroughbred Breeder,SNES,1993,Simulation,Hect,0.0,0.0,0.19,0.0,0.19,Nintendo,Other,False
7767,Momotarou Dentetsu World,DS,2010,Misc,Hudson Soft,0.0,0.0,0.19,0.0,0.19,Nintendo,Other,False
7768,Singstar: Ultimate Party,PS4,2014,Misc,Sony Interactive Entertainment,0.0,0.16,0.0,0.03,0.19,Playstation,Sony Interactive Entertainment,False
7769,Beyblade: Metal Fusion - Battle Fortress,Wii,2009,Action,Konami Digital Entertainment,0.15,0.0,0.03,0.01,0.19,Nintendo,Konami Digital Entertainment,False
7770,Risen,X360,2009,Role-Playing,Deep Silver,0.07,0.11,0.0,0.01,0.19,Xbox,Deep Silver,False
7771,Nostalgia,DS,2008,Role-Playing,Tecmo Koei,0.16,0.0,0.02,0.01,0.19,Nintendo,Tecmo Koei,False
7772,Dynasty Warriors Gundam,X360,2007,Action,Bandai Namco Entertainment,0.15,0.01,0.02,0.01,0.19,Xbox,Bandai Namco Entertainment,False
7773,Chibi-Robo! Park Patrol,DS,2007,Adventure,Unknown,0.0,0.0,0.19,0.0,0.19,Nintendo,Unknown,False
7774,Jurassic: The Hunted,PS3,2009,Shooter,Activision,0.17,0.0,0.0,0.02,0.19,Playstation,Activision,False
7775,Farmtopia,DS,2010,Simulation,505 Games,0.18,0.0,0.0,0.01,0.19,Nintendo,505 Games,False
7776,DanceDanceRevolution,PS3,2010,Simulation,Konami Digital Entertainment,0.12,0.05,0.0,0.02,0.19,Playstation,Konami Digital Entertainment,False
7777,Tom Clancy's Splinter Cell: Blacklist,PC,2013,Action,Ubisoft,0.04,0.13,0.0,0.01,0.19,PC,Ubisoft,False
7778,"Ni Hao, Kai-lan: Super Game Day",Wii,2009,Misc,Take-Two Interactive,0.17,0.0,0.0,0.01,0.19,Nintendo,Take-Two Interactive,False
7779,One Piece: Unlimited Adventure,Wii,2007,Adventure,Bandai Namco Entertainment,0.07,0.0,0.11,0.01,0.19,Nintendo,Bandai Namco Entertainment,False
7780,Shaun White Skateboarding,PS3,2010,Sports,Ubisoft,0.11,0.05,0.0,0.03,0.19,Playstation,Ubisoft,False
7781,Crash & Spyro Superpack,GBA,2005,Platform,Vivendi Games,0.13,0.05,0.0,0.0,0.19,Nintendo,Vivendi Games,False
7782,Reel Fishing Paradise 3D,3DS,2011,Sports,Marvelous Entertainment,0.12,0.0,0.06,0.01,0.19,Nintendo,Other,False
7783,Conflict: Denied Ops,PS3,2008,Shooter,Eidos Interactive,0.05,0.1,0.0,0.03,0.19,Playstation,Eidos Interactive,False
7784,Binary Domain,X360,2012,Action,Sega,0.09,0.06,0.02,0.02,0.19,Xbox,Sega,False
7785,Kuma-Tomo,3DS,2013,Misc,Bandai Namco Entertainment,0.0,0.0,0.19,0.0,0.19,Nintendo,Bandai Namco Entertainment,False
7786,IL-2 Sturmovik: Birds of Prey,PSP,2009,Simulation,505 Games,0.08,0.07,0.0,0.04,0.19,Playstation,505 Games,False
7787,ThunderStrike 2,PS,1994,Simulation,Core Design Ltd.,0.1,0.07,0.0,0.01,0.19,Playstation,Other,False
7788,Magical ZhuZhu Princess: Carriages & Castles,DS,2011,Simulation,Activision,0.13,0.04,0.0,0.01,0.19,Nintendo,Activision,False
7789,Pro Yaky? Spirits 2012,PS3,2012,Sports,Konami Digital Entertainment,0.0,0.0,0.19,0.0,0.19,Playstation,Konami Digital Entertainment,False
7790,Super Real Mahjong P V,SAT,1995,Misc,Seta Corporation,0.0,0.0,0.19,0.0,0.19,Sega,Other,False
7791,Penguin no Mondai X: Tenkuu no 7 Senshi,DS,2009,Action,Konami Digital Entertainment,0.0,0.0,0.19,0.0,0.19,Nintendo,Konami Digital Entertainment,False
7792,The Scorpion King: Sword of Osiris,GBA,2002,Action,Vivendi Games,0.13,0.05,0.0,0.0,0.19,Nintendo,Vivendi Games,False
7793,Jeep Thrills,Wii,2008,Racing,Zoo Digital Publishing,0.17,0.0,0.0,0.01,0.19,Nintendo,Zoo Digital Publishing,False
7794,Ice Age: Dawn of the Dinosaurs,PS3,2009,Action,Activision,0.13,0.03,0.0,0.02,0.19,Playstation,Activision,False
7795,Bubsy 3D,PS,1996,Platform,Accolade,0.1,0.07,0.0,0.01,0.19,Playstation,Other,False
7796,NCAA Final Four 2001,PS2,2000,Sports,Sony Interactive Entertainment,0.09,0.07,0.0,0.02,0.19,Playstation,Sony Interactive Entertainment,False
7797,Robin Hood: Defender of the Crown,PS2,2003,Strategy,Capcom,0.09,0.07,0.0,0.02,0.19,Playstation,Capcom,False
7798,Face Training,DS,2007,Misc,Nintendo,0.0,0.0,0.19,0.0,0.19,Nintendo,Nintendo,False
7799,Barbie Horse Adventures: Riding Camp,Wii,2008,Sports,Activision,0.17,0.0,0.0,0.01,0.19,Nintendo,Activision,False
7800,SD Gundam GX,SNES,1994,Strategy,Bandai Namco Entertainment,0.0,0.0,0.19,0.0,0.19,Nintendo,Bandai Namco Entertainment,False
7801,R-Type Final,PS2,2003,Shooter,Metro 3D,0.09,0.07,0.0,0.02,0.19,Playstation,Other,False
7802,Jackie Chan Adventures: Legend of the Dark Hand,GBA,2001,Action,Activision,0.13,0.05,0.0,0.0,0.19,Nintendo,Activision,False
7803,Bolt,PS3,2008,Adventure,Disney Interactive Studios,0.12,0.04,0.0,0.02,0.19,Playstation,Disney Interactive Studios,False
7804,Mathews Bowhunting,Wii,2010,Sports,Zoo Games,0.18,0.0,0.0,0.01,0.19,Nintendo,Other,False
7805,Phantasy Star Nova,PSV,2014,Role-Playing,Sega,0.0,0.0,0.19,0.0,0.19,Playstation,Sega,False
7806,Pro Evolution Soccer 2014,3DS,2013,Action,Konami Digital Entertainment,0.0,0.0,0.19,0.0,0.19,Nintendo,Konami Digital Entertainment,False
7807,Sega GT 2002,XB,2002,Racing,Sega,0.12,0.03,0.03,0.01,0.19,Xbox,Sega,False
7808,F1 2011,PC,2011,Racing,Codemasters,0.0,0.15,0.0,0.04,0.19,PC,Codemasters,False
7809,Air Conflicts: Secret Wars,PS3,2011,Simulation,bitComposer Games,0.1,0.06,0.0,0.03,0.19,Playstation,Other,False
7810,Ty the Tasmanian Tiger 3: Night of the Quinkan,PS2,2005,Action,Activision,0.09,0.07,0.0,0.02,0.19,Playstation,Activision,False
7811,Family Feud: 2012 Edition,Wii,2011,Misc,Ubisoft,0.17,0.0,0.0,0.01,0.19,Nintendo,Ubisoft,False
7812,Samurai Warriors 2: Empires,PS2,2006,Action,Tecmo Koei,0.0,0.0,0.19,0.0,0.19,Playstation,Tecmo Koei,False
7813,Blood Omen 2,XB,2002,Action,Eidos Interactive,0.14,0.04,0.0,0.01,0.19,Xbox,Eidos Interactive,False
7814,Earth Defense Force: Insect Armageddon,X360,2011,Shooter,D3Publisher,0.1,0.04,0.03,0.01,0.19,Xbox,D3Publisher,False
7815,Major League Baseball 2K10,PS3,2010,Sports,Take-Two Interactive,0.17,0.0,0.0,0.01,0.19,Playstation,Take-Two Interactive,False
7816,Saints Row IV,PC,2013,Action,Deep Silver,0.11,0.06,0.0,0.02,0.19,PC,Deep Silver,False
7817,J-League Pro Soccer Club o Tsukurou! 5,PS2,2007,Sports,Sega,0.0,0.0,0.19,0.0,0.19,Playstation,Sega,False
7818,Harry Potter: Quidditch World Cup,XB,2003,Sports,Electronic Arts,0.14,0.04,0.0,0.01,0.19,Xbox,Electronic Arts,False
7819,Dance Central: Spotlight,XOne,2014,Misc,Microsoft Game Studios,0.15,0.03,0.0,0.0,0.19,Xbox,Microsoft Game Studios,False
7820,Little Battlers eXperience W,PSP,2012,Role-Playing,Level 5,0.0,0.0,0.19,0.0,0.19,Playstation,Other,False
7821,Warriors: Legends of Troy,PS3,2011,Action,Tecmo Koei,0.06,0.04,0.07,0.02,0.19,Playstation,Tecmo Koei,False
7822,La Pucelle: Tactics,PS2,2002,Role-Playing,Tecmo Koei,0.09,0.07,0.0,0.02,0.19,Playstation,Tecmo Koei,False
7823,Arcania: Gothic 4,PC,2010,Role-Playing,JoWood Productions,0.09,0.08,0.0,0.02,0.19,PC,Other,False
7824,NBA Ballers: Chosen One,X360,2008,Sports,Midway Games,0.17,0.0,0.0,0.01,0.19,Xbox,Midway Games,False
7825,Tiger Woods PGA Tour 07,XB,2006,Sports,Electronic Arts,0.13,0.05,0.0,0.01,0.19,Xbox,Electronic Arts,False
7826,Disney's Meet the Robinsons,Wii,2007,Action,Disney Interactive Studios,0.17,0.0,0.0,0.01,0.19,Nintendo,Disney Interactive Studios,False
7827,Sword Art Online: Hollow Realization,PS4,2016,Role-Playing,Bandai Namco Entertainment,0.06,0.02,0.1,0.02,0.19,Playstation,Bandai Namco Entertainment,False
7828,Star Wars: The Clone Wars & Tetris Worlds,XB,2002,Misc,Microsoft Game Studios,0.14,0.04,0.0,0.01,0.19,Xbox,Microsoft Game Studios,False
7829,The Lord of the Rings: War in the North,PC,2011,Action,Warner Bros. Interactive Entertainment,0.05,0.11,0.0,0.03,0.19,PC,Warner Bros. Interactive Entertainment,False
7830,The Bee Game,DS,2007,Adventure,Midway Games,0.17,0.0,0.0,0.01,0.19,Nintendo,Midway Games,False
7831,SBK X: Superbike World Championship,X360,2010,Racing,Black Bean Games,0.1,0.07,0.0,0.02,0.19,Xbox,Other,False
7832,Rango: The Video Game,PS3,2011,Action,Electronic Arts,0.07,0.09,0.0,0.03,0.19,Playstation,Electronic Arts,False
7833,EverQuest Online Adventures: Frontiers,PS2,2003,Role-Playing,Daybreak Game Company,0.09,0.07,0.0,0.02,0.19,Playstation,Other,False
7834,Godzilla (2015),PS4,2014,Action,Bandai Namco Entertainment,0.11,0.03,0.02,0.03,0.19,Playstation,Bandai Namco Entertainment,False
7835,Fairy Fencer F,PS3,2013,Role-Playing,Nippon Ichi Software,0.05,0.03,0.09,0.02,0.19,Playstation,Nippon Ichi Software,False
7836,Shadows of the Damned,X360,2011,Action,Electronic Arts,0.1,0.06,0.01,0.02,0.19,Xbox,Electronic Arts,False
7837,Treasures of the Deep,PS,1997,Action,Bandai Namco Entertainment,0.1,0.07,0.0,0.01,0.19,Playstation,Bandai Namco Entertainment,False
7838,Phantasy Star Online Ver. 2,DC,2001,Role-Playing,Sega,0.0,0.0,0.19,0.0,0.19,Sega,Sega,False
7839,Cabela's Survival: Shadows of Katmai,PS3,2011,Sports,Activision,0.11,0.05,0.0,0.02,0.18,Playstation,Activision,False
7840,Hot Wheels: Battle Force 5,Wii,2009,Racing,Activision,0.17,0.0,0.0,0.01,0.18,Nintendo,Activision,False
7841,Go Play: Lumberjacks,Wii,2009,Simulation,Majesco Entertainment,0.17,0.0,0.0,0.01,0.18,Nintendo,Other,False
7842,Fight Club,PS2,2004,Fighting,Vivendi Games,0.09,0.07,0.0,0.02,0.18,Playstation,Vivendi Games,False
7843,Samurai Warriors: State of War,PSP,2005,Action,Tecmo Koei,0.07,0.0,0.11,0.01,0.18,Playstation,Tecmo Koei,False
7844,Cabela's Survival: Shadows of Katmai,X360,2011,Sports,Activision,0.14,0.03,0.0,0.01,0.18,Xbox,Activision,False
7845,Dragon Blade: Wrath of Fire,Wii,2007,Action,D3Publisher,0.17,0.0,0.0,0.01,0.18,Nintendo,D3Publisher,False
7846,Guilty Gear Xrd: Sign,PS3,2014,Fighting,Arc System Works,0.1,0.0,0.07,0.02,0.18,Playstation,Other,False
7847,Dance Dance Revolution: Disney Grooves,Wii,2009,Simulation,Konami Digital Entertainment,0.17,0.0,0.0,0.01,0.18,Nintendo,Konami Digital Entertainment,False
7848,Camping Mama: Outdoor Adventures,DS,2011,Simulation,505 Games,0.12,0.05,0.0,0.02,0.18,Nintendo,505 Games,False
7849,Harvest Moon: A Wonderful Life Special Edition,PS2,2004,Simulation,505 Games,0.09,0.07,0.0,0.02,0.18,Playstation,505 Games,False
7850,Sports Illustrated for Kids: Football,GBA,2003,Sports,BAM! Entertainment,0.13,0.05,0.0,0.0,0.18,Nintendo,Other,False
7851,The Munchables,Wii,2009,Action,Bandai Namco Entertainment,0.17,0.0,0.0,0.01,0.18,Nintendo,Bandai Namco Entertainment,False
7852,How to Train Your Dragon 2,Wii,2014,Adventure,Little Orbit,0.04,0.13,0.0,0.01,0.18,Nintendo,Other,False
7853,.hack//Quarantine Part 4: The Final Chapter,PS2,2003,Role-Playing,Atari,0.09,0.07,0.0,0.02,0.18,Playstation,Atari,False
7854,The Smurfs 2,DS,2013,Platform,Ubisoft,0.0,0.17,0.0,0.01,0.18,Nintendo,Ubisoft,False
7855,Close Combat: First to Fight,XB,2005,Shooter,Take-Two Interactive,0.14,0.04,0.0,0.01,0.18,Xbox,Take-Two Interactive,False
7856,Indiana Jones and the Emperor's Tomb,XB,2003,Action,LucasArts,0.14,0.04,0.0,0.01,0.18,Xbox,Other,False
7857,Buffy the Vampire Slayer: Chaos Bleeds,PS2,2003,Action,Vivendi Games,0.09,0.07,0.0,0.02,0.18,Playstation,Vivendi Games,False
7858,Remington Super Slam Hunting: North America,Wii,2010,Sports,Mastiff,0.17,0.0,0.0,0.01,0.18,Nintendo,Other,False
7859,Reel Fishing II,PS,2000,Sports,Victor Interactive,0.1,0.07,0.0,0.01,0.18,Playstation,Other,False
7860,Battle of Giants: Dinosaurs Strike,Wii,2010,Strategy,Ubisoft,0.14,0.03,0.0,0.01,0.18,Nintendo,Ubisoft,False
7861,Ty the Tasmanian Tiger,XB,2002,Platform,Electronic Arts,0.14,0.04,0.0,0.01,0.18,Xbox,Electronic Arts,False
7862,Imagine: Babyz Fashion,DS,2009,Simulation,Ubisoft,0.17,0.0,0.0,0.01,0.18,Nintendo,Ubisoft,False
7863,Dead or Alive,SAT,1997,Fighting,Tecmo Koei,0.0,0.0,0.18,0.0,0.18,Sega,Tecmo Koei,False
7864,Active Health with Carol Vorderman,DS,2009,Sports,Nintendo,0.0,0.18,0.0,0.01,0.18,Nintendo,Nintendo,False
7865,Driving Emotion Type-S,PS2,2000,Racing,Electronic Arts,0.04,0.03,0.11,0.01,0.18,Playstation,Electronic Arts,False
7866,Heavy Fire: Afghanistan,PS3,2011,Shooter,Unknown,0.17,0.0,0.0,0.02,0.18,Playstation,Unknown,False
7867,Siren,PS2,2003,Adventure,Sony Interactive Entertainment,0.09,0.07,0.0,0.02,0.18,Playstation,Sony Interactive Entertainment,False
7868,NARC,XB,2005,Shooter,Midway Games,0.14,0.04,0.0,0.01,0.18,Xbox,Midway Games,False
7869,Driver: San Francisco,PC,2011,Racing,Ubisoft,0.05,0.1,0.0,0.03,0.18,PC,Ubisoft,False
7870,Just Dance 2017,Wii,2016,Misc,Ubisoft,0.06,0.11,0.0,0.01,0.18,Nintendo,Ubisoft,False
7871,NASCAR Unleashed,Wii,2011,Racing,Activision,0.17,0.0,0.0,0.01,0.18,Nintendo,Activision,False
7872,Super Robot Taisen J,GBA,2005,Strategy,Banpresto,0.0,0.0,0.18,0.0,0.18,Nintendo,Other,False
7873,Shape Up,XOne,2014,Misc,Ubisoft,0.08,0.09,0.0,0.01,0.18,Xbox,Ubisoft,False
7874,Nep League DS,DS,2007,Sports,Jaleco,0.0,0.0,0.18,0.0,0.18,Nintendo,Other,False
7875,Happy Cooking,DS,2006,Simulation,Ubisoft,0.17,0.0,0.0,0.01,0.18,Nintendo,Ubisoft,False
7876,Ar tonelico 2: Melody of Metafalica,PS2,2007,Role-Playing,Nippon Ichi Software,0.04,0.03,0.11,0.01,0.18,Playstation,Nippon Ichi Software,False
7877,Cars: Race-O-Rama,PS3,2009,Racing,THQ Nordic,0.14,0.03,0.0,0.02,0.18,Playstation,THQ Nordic,False
7878,Jewel Master: Cradle of Athena,DS,2010,Puzzle,Storm City Games,0.17,0.0,0.0,0.01,0.18,Nintendo,Other,False
7879,Saw II: Flesh & Blood,PS3,2010,Action,Konami Digital Entertainment,0.1,0.06,0.0,0.02,0.18,Playstation,Konami Digital Entertainment,False
7880,Hidden Mysteries: Vampire Secrets,DS,2010,Adventure,Astragon,0.06,0.11,0.0,0.02,0.18,Nintendo,Other,False
7881,Casper: Friends Around the World,PS,2000,Action,TDK Core,0.1,0.07,0.0,0.01,0.18,Playstation,Other,False
7882,Jurassic Park III: Island Attack,GBA,2001,Adventure,Konami Digital Entertainment,0.13,0.05,0.0,0.0,0.18,Nintendo,Konami Digital Entertainment,False
7883,Jikkyou Powerful Pro Baseball 2016,PSV,2016,Sports,Konami Digital Entertainment,0.0,0.0,0.18,0.0,0.18,Playstation,Konami Digital Entertainment,False
7884,Tekken Tag Tournament 2,WiiU,2012,Fighting,Bandai Namco Entertainment,0.09,0.07,0.01,0.01,0.18,Nintendo,Bandai Namco Entertainment,False
7885,GameBoy Wars,GB,1991,Strategy,Nintendo,0.0,0.0,0.18,0.0,0.18,Nintendo,Nintendo,False
7886,Amplitude,PS2,2003,Misc,Sony Interactive Entertainment,0.09,0.07,0.0,0.02,0.18,Playstation,Sony Interactive Entertainment,False
7887,Disgaea DS,DS,2008,Role-Playing,Square Enix,0.11,0.01,0.05,0.01,0.18,Nintendo,Square Enix,False
7888,Gauntlet: Seven Sorrows,XB,2005,Role-Playing,Midway Games,0.14,0.04,0.0,0.01,0.18,Xbox,Midway Games,False
7889,AirForce Delta Storm,XB,2001,Shooter,Konami Digital Entertainment,0.14,0.04,0.0,0.01,0.18,Xbox,Konami Digital Entertainment,False
